N° SERIE,MARQUE,MODELE ou DESCRIPTION,TYPE MATERIEL,AFFECTATION,DATE ENTREE,FOURNISSEUR,N° FACTURE,PRIX ACHAT HT,DUREE PROBABLE D'UTILISATION en mois,DATE REEVALUATION
,LOGITECH,MK295 Silent graphique,Kit clavier/souris,Personnel,15/02/23,LDLC PRO,FV202200752254,37.40,72,15/02/29
,LOGITECH,MK295 Silent graphique,Kit clavier/souris,Personnel,15/02/23,LDLC PRO,FV202200752254,37.40,72,15/02/29
,LOGITECH,MK270,Kit clavier/souris,Personnel,05/06/23,LDLC PRO,FV202300124357,32.36,72,05/06/29
,LOGITECH,MK295 Silent graphique,Kit clavier/souris,Personnel,05/10/23,LDLC PRO,FV202300373778,41.52,72,05/10/29
,LOGITECH,MK295 Silent graphique,Kit clavier/souris,Personnel,26/12/23,LDLC PRO,FV202300577009,41.52,72,26/12/29
,LOGITECH,MK270,Kit clavier/souris,Personnel,26/02/25,LDLC PRO,FV202400638589,30.68,72,26/02/31
,LOGITECH,MK270,Kit clavier/souris,Personnel,01/04/25,LDLC PRO,FV202500002758,30.68,72,01/04/31
,LOGITECH,MK270,Kit clavier/souris,Personnel,01/04/25,LDLC PRO,FV202500002758,30.68,72,01/04/31
,LOGITECH,MK295 Silent graphique,Kit clavier/souris,Personnel,01/07/25,LDLC PRO,FV202500157939,35.68,72,01/07/31
,LOGITECH,MK270,Kit clavier/souris,Personnel,22/07/25,LDLC PRO,FV202500199200,22.35,72,22/07/31
,LOGITECH,MK270,Kit clavier/souris,Personnel,22/07/25,LDLC PRO,FV202500199200,22.35,72,22/07/31
,LOGITECH,Lift vertical ergonomic,Kit clavier/souris,Personnel,20/08/25,LDLC PRO,FV202500247585,58.25,72,20/08/31
,LOGITECH,Lift vertical ergonomic,Kit clavier/souris,Personnel,04/09/25,AMAZON,FR51JI7YABEI,36.66,72,04/09/31
,LOGITECH,MK295 Silent graphique,Kit clavier/souris,Personnel,24/09/25,LDLC PRO,FV202500319145,35.68,72,24/09/31
MOB0001,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/03/23,LYRECO,5770353159,169.00,72,31/03/29
MOB0002,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/03/23,LYRECO,5770353159,169.00,72,31/03/29
MOB0003,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/03/23,LYRECO,5770353159,169.00,72,31/03/29
MOB0004,INTERSTUHL,Siege Bureau 172II,Mobilier,Bureau Admin,31/03/23,LYRECO,5770353159,289.00,72,31/03/29
MOB0005,INTERSTUHL,Siege Bureau 172II,Mobilier,Bureau Admin,31/03/23,LYRECO,5770353159,289.00,72,31/03/29
MOB0006,INTERSTUHL,Siege Bureau 172II,Mobilier,Bureau DV,31/03/23,LYRECO,5770353159,289.00,72,31/03/29
MOB0007,GAUTIER,Bureau Jazz 160x80,Mobilier,Bureau DT,31/03/23,LYRECO,5770353159,139.00,120,31/03/33
MOB0008,NON DEFINI,Benchs d'occasion 4 postes,Mobilier,Open Spaces,30/11/23,CELAD,23/11CECEON0336,0.00,120,30/11/33
MOB0009,NON DEFINI,Benchs d'occasion 4 postes,Mobilier,Open Spaces,30/11/23,CELAD,23/11CECEON0336,0.00,120,30/11/33
MOB0010,NON DEFINI,Benchs d'occasion 4 postes,Mobilier,Open Spaces,30/11/23,CELAD,23/11CECEON0336,0.00,120,30/11/33
MOB0011,NON DEFINI,Benchs d'occasion 4 postes,Mobilier,Open Spaces,30/11/23,CELAD,23/11CECEON0336,0.00,120,30/11/33
MOB0012,NON DEFINI,Benchs d'occasion 4 postes,Mobilier,Open Spaces,30/11/23,CELAD,23/11CECEON0336,0.00,120,30/11/33
MOB0013,NON DEFINI,Benchs d'occasion 2 postes,Mobilier,Open Spaces,30/11/23,CELAD,23/11CECEON0336,0.00,120,30/11/33
MOB0014,NON DEFINI,Benchs d'occasion 1 poste,Mobilier,Bureau DV,30/11/23,CELAD,23/11CECEON0336,9 000.00,120,30/11/33
MOB0015,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0016,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0017,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0018,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0019,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0020,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0021,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0022,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0023,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0024,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0025,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0026,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,31/01/24,LYRECO,5770364829,159.00,72,31/01/30
MOB0027,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,30/04/25,LYRECO,5770379998,159.00,72,30/04/31
MOB0028,LINEA,Siege Bureau Tekna,Mobilier,Open Spaces,30/04/25,LYRECO,5770379998,159.00,72,30/04/31
MOB0029,BURONOMIC,Bureau Evo160x80,Mobilier,Bureau Admin,30/04/25,LYRECO,5770380000,208.64,120,30/04/35
MOB0030,NON DEFINI,Retour bureau Evo,Mobilier,Bureau Admin,30/04/25,LYRECO,5770380000,102.73,120,30/04/35
MOB0031,NON DEFINI,Caisson mobile 2 tiroirs,Mobilier,Bureau Admin,30/04/25,LYRECO,5770380000,148.73,120,30/04/35
MOB0032,NON DEFINI,Caisson mobile 3 tiroirs,Mobilier,Bureau DV,30/04/25,LYRECO,5770380000,145.13,120,30/04/35
MOB0033,NON DEFINI,Caisson mobile 3 tiroirs,Mobilier,Bureau Admin,30/04/25,LYRECO,5770380000,145.13,120,30/04/35
MOB0034,NON DEFINI,Table basse,Mobilier,Espace Détente,30/04/25,LYRECO,5770380000,100.59,120,30/04/35
MOB0035,NON DEFINI,Porte manteaux Alba,Mobilier,Open Spaces,30/04/25,LYRECO,5770380000,63.16,120,30/04/35
MOB0036,NON DEFINI,Porte manteaux Alba,Mobilier,Open Spaces,30/04/25,LYRECO,5770380000,63.16,120,30/04/35
MOB0037,IKEA,Canapé,Mobilier,Espace Détente,09/05/25,IKEA,FRINV25000002828193,749.17,60,09/05/30
MOB0038,IKEA,Pouf,Mobilier,Espace Détente,09/05/25,IKEA,FRINV25000002828193,41.66,120,09/05/35
MOB0039,IKEA,Pouf,Mobilier,Espace Détente,09/05/25,IKEA,FRINV25000002828193,49.99,120,09/05/35
MOB0040,IKEA,Lampadaire,Mobilier,Espace Détente,09/05/25,IKEA,FRINV25000002828193,33.32,120,09/05/35
MOB0041,IKEA,Fauteuil,Mobilier,Espace Détente,09/05/25,IKEA,FRINV25000002828193,149.16,120,09/05/35
MOB0042,IKEA,Meuble métal portes coulissantes,Mobilier,Open Spaces,09/05/25,IKEA,FRINV25000002828193,132.50,120,09/05/35
MOB0043,NON DEFINI,Pied roulant,Mobilier,Salle réunion Carmes,23/05/25,OFFICE EASY,OE-FA0001903159,0.00,0,
MOB0044,NON DEFINI,Table ronde diam100,Mobilier,Bureau DG,31/05/25,LYRECO,5770380809,306.35,120,31/05/35
MOB0045,NON DEFINI,Table ronde diam100,Mobilier,Salle réunion Wilson,31/05/25,LYRECO,5770380809,306.35,120,31/05/35
MOB0046,NON DEFINI,Colonne bibliothèque,Mobilier,Espace Détente,31/05/25,LYRECO,5770380809,143.80,120,31/05/35
MOB0047,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0048,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0049,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0050,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0051,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0052,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0053,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0054,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0055,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0056,NON DEFINI,Chaise PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,106.97,120,31/05/35
MOB0057,NON DEFINI,Tabouret PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,223.32,120,31/05/35
MOB0058,NON DEFINI,Tabouret PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,223.32,120,31/05/35
MOB0059,NON DEFINI,Tabouret PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,223.32,120,31/05/35
MOB0060,NON DEFINI,Tabouret PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,223.32,120,31/05/35
MOB0061,NON DEFINI,Tabouret PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,223.32,120,31/05/35
MOB0062,NON DEFINI,Tabouret PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,223.32,120,31/05/35
MOB0063,NON DEFINI,Tabouret PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,223.32,120,31/05/35
MOB0064,NON DEFINI,Tabouret PVC couleur Maike,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380808,223.32,120,31/05/35
MOB0065,NON DEFINI,Table haute,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380809,368.87,120,31/05/35
MOB0066,NON DEFINI,Table haute,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380809,368.87,120,31/05/35
MOB0067,NON DEFINI,Table 240x120,Mobilier,Espace Restauration,31/05/25,LYRECO,5770380809,600.19,120,31/05/35
MOB0068,NON DEFINI,Table abattante 140x70,Mobilier,Salle réunion Capitole,31/05/25,LYRECO,5770380809,300.09,120,31/05/35
